Etat,AvgAltitude,MaxDepth,Fov,MaxAlt,Currenty
Victoire,-168.5734,141.13509,1404,-126.6566,-126.64879
Defaite,-127.70424,61.569263,936,-119.25362,-127.60294
Victoire,-162.9265,152.32121,1719,-117.31821,-117.385605
Defaite,-124.9088,72.12336,846,-120.97133,-120.61201
Victoire,-123.56716,61.83585,963,-119.12913,-118.43969
Defaite,-155.93246,133.88747,1890,-118.85747,-126.30807
Victoire,-164.39781,140.99664,1499,-110.84448,-128.74011
Defaite,-158.08766,131.54575,1710,-111.79843,-122.40737
Victoire,-163.67258,156.57468,1665,-117.23653,-130.34859
Defaite,-125.15653,56.20071,801,-122.19438,-123.0649
Victoire,-160.55717,139.23299,1656,-114.52667,-127.67793
Defaite,-129.98973,75.319824,981,-121.38863,-130.53224
Victoire,-167.6138,146.22702,1448,-123.16799,-126.32431
Defaite,-156.9713,138.68845,1980,-123.16465,-124.49953
Victoire,-158.93889,146.72733,1818,-112.62506,-128.32144
Defaite,-163.43372,134.04799,2313,-118.414314,-126.057526
Victoire,-165.71167,161.92262,1557,-119.23023,-125.585014
Defaite,-123.06394,76.84784,918,-118.633484,-118.214424
Victoire,-159.67732,158.53094,1985,-121.92556,-127.45587
Defaite,-127.60404,93.28508,981,-121.085815,-128.44162
Victoire,-171.19374,157.25984,1300,-113.28125,-119.054016
Defaite,-123.85102,77.80745,918,-120.05629,-119.082306
Victoire,-126.32727,80.62724,612,-117.254425,-127.59651
Defaite,-127.06815,75.61903,819,-123.58182,-128.02492
Victoire,-161.44395,143.87288,1656,-117.30089,-129.03683
Defaite,-157.95622,137.23486,1890,-120.15256,-127.58101
Victoire,-169.05704,150.5274,1323,-111.31889,-122.65772
Defaite,-125.100586,63.06377,963,-121.31399,-120.40929
Victoire,-152.5966,137.32965,2259,-123.11043,-123.0785
Defaite,-124.78737,73.26401,981,-117.33925,-124.67159
Victoire,-127.68677,72.82339,433,-114.57828,-128.73332
Defaite,-127.273735,81.20573,846,-122.38913,-128.5271
Victoire,-131.13634,72.89178,810,-122.2218,-130.1822
Defaite,-126.166145,61.01332,783,-121.96367,-121.944824
Victoire,-163.79305,142.91882,1539,-123.379875,-126.52621
Defaite,-158.3453,140.14188,1953,-112.94988,-130.04874
Victoire,-124.568245,90.53353,432,-120.53067,-126.14349
Defaite,-123.639694,108.33746,891,-122.07427,-123.10578
Victoire,-172.70216,132.68237,1233,-109.52044,-126.757904
Defaite,-135.8171,140.01733,1027,-120.89349,-120.89349
Victoire,-164.87476,135.0873,1386,-115.0732,-120.409546
Defaite,-130.74608,107.73649,1233,-122.447395,-122.1405
Victoire,-127.36283,67.36811,558,-116.31417,-118.21371
Defaite,-120.59998,96.29023,594,-118.47345,-118.0275
Victoire,-145.05435,107.75985,1359,-124.899666,-124.51781
Defaite,-131.583,71.67362,918,-121.11065,-129.66171
Victoire,-174.38635,133.31393,1989,-119.32619,-127.7343
Defaite,-153.18037,135.44998,2295,-111.3787,-130.2808
Victoire,-167.53583,151.75131,1503,-115.409515,-124.218124
Defaite,-127.38777,59.649837,729,-123.0539,-122.42359
Victoire,-128.36426,80.138374,920,-126.800156,-126.72977
Defaite,-127.10268,76.99154,891,-121.0365,-126.85622
Victoire,-129.73253,78.2779,828,-122.143234,-134.81207
Defaite,-127.9274,81.614655,846,-120.943565,-128.09291
Victoire,-126.71168,106.282585,657,-121.34985,-125.77433
Defaite,-126.05656,91.51388,936,-118.68355,-127.189766
Victoire,-161.87036,158.64253,1611,-113.0507,-112.62952
Defaite,-156.23076,163.55508,1683,-115.40123,-114.91467
Victoire,-180.86876,161.5616,1431,-128.99078,-133.09302
Defaite,-130.0833,87.25942,909,-107.46356,-134.82043
